ExperimentoNr,ViduriniaiNeuronai,ChromosemosDydis,PopuliacijosDydis,ElitoDalis,MutacijosDydis,MutacijosTikimybe,GeneracijuSkaicius,TikslumoProcent
1,6,37,9259,0.1936,0.13,0.0749,876,0.9667
2,7,43,8936,0.171,0.1311,0.1165,354,1.0
3,2,13,4969,0.1583,0.1084,0.0535,913,1.0
4,3,19,8019,0.1919,0.0531,0.063,526,0.9333
5,3,19,9144,0.1923,0.0893,0.0979,400,1.0
6,2,13,3952,0.1994,0.1484,0.0635,216,1.0
7,7,43,9503,0.161,0.1397,0.0811,357,1.0
8,4,25,3853,0.1912,0.104,0.1177,579,0.9333
9,4,25,5070,0.1846,0.0809,0.1397,33,0.9
10,9,55,7453,0.1947,0.103,0.0738,243,1.0
11,5,31,5422,0.1616,0.1132,0.1182,58,1.0
12,4,25,8571,0.162,0.0815,0.1258,993,0.9333
13,10,61,2751,0.192,0.1234,0.0721,280,0.9333
14,10,61,5012,0.1887,0.0918,0.0928,729,1.0
15,4,25,504,0.1678,0.0577,0.1088,929,1.0
16,5,31,6520,0.1949,0.0577,0.1441,954,1.0
17,5,31,7429,0.163,0.1468,0.1037,287,0.9667
18,8,49,6657,0.1559,0.1009,0.1319,502,0.9667
19,3,19,4230,0.1773,0.0922,0.097,64,0.9667
20,9,55,7581,0.172,0.0788,0.1289,651,1.0
21,10,61,5315,0.163,0.133,0.1413,546,1.0
22,2,13,142,0.173,0.0714,0.0804,68,0.7667
23,7,43,8727,0.1584,0.1329,0.0706,868,1.0
24,6,37,4248,0.1721,0.0867,0.1211,613,0.9667
25,4,25,3850,0.1813,0.0865,0.1461,160,0.9333
26,3,19,5080,0.1959,0.1359,0.1373,455,0.9667
27,5,31,1167,0.1786,0.0741,0.0865,682,1.0
28,7,43,9390,0.1877,0.0906,0.1173,908,0.9667
29,5,31,8169,0.1517,0.0989,0.068,811,0.9333
30,8,49,2737,0.1622,0.0692,0.1335,567,0.9667
